NRO,sukunimi,etunimet,ehdokasnimi,liitto
399,Marttinen,Jukka Tapio,"Marttinen, Jukka",HYYn Vihreät - De Gröna vid HUS
400,McKeough,Helena,"McKeough, Helena",HYYn Vihreät - De Gröna vid HUS
401,Muuttomaa,Ville Viljami,"Muuttomaa, Viljami",HYYn Vihreät - De Gröna vid HUS
402,Mynttinen,Laura Pauliina,"Mynttinen, Laura",HYYn Vihreät - De Gröna vid HUS
403,Mörtengren,Daniela Deborah,"Mörtengren, Daniela",HYYn Vihreät - De Gröna vid HUS
404,Ohisalo,Maria Karoliina,"Ohisalo, Maria",HYYn Vihreät - De Gröna vid HUS
405,Perälä,Erkki Hermanni,"Perälä, Erkki",HYYn Vihreät - De Gröna vid HUS
406,Piiparinen,Niklas Henrik Juhana,"Piiparinen, Niklas",HYYn Vihreät - De Gröna vid HUS
407,Pusa,Satu Maria,"Pusa, Satu",HYYn Vihreät - De Gröna vid HUS
408,Raittila,Simo Ahti Aleksi,"Raittila, Simo",HYYn Vihreät - De Gröna vid HUS
409,Rentola,Joonas Ilmari,"Rentola, Joonas",HYYn Vihreät - De Gröna vid HUS
410,R Farag,Jamila,"R Farag, Jamila",HYYn Vihreät - De Gröna vid HUS
411,Rinkineva,Suvi Maria,"Rinkineva, Suvi",HYYn Vihreät - De Gröna vid HUS
412,Räisänen,Hanna Marika,"Räisänen, Hanna",HYYn Vihreät - De Gröna vid HUS
413,Salovaara,Antti Samuli,"Salovaara, Antti",HYYn Vihreät - De Gröna vid HUS
414,Saxen,Niklas Otto,"Saxen, Niklas",HYYn Vihreät - De Gröna vid HUS
415,Silkelä,Elina Talvikki,"Silkelä, Elina",HYYn Vihreät - De Gröna vid HUS
416,Sjövall,Anna-Leena,"Sjövall, Anna",HYYn Vihreät - De Gröna vid HUS
417,Sulander,Essi Inkeri,"Sulander, Essi",HYYn Vihreät - De Gröna vid HUS
418,Tulenheimo,Martti Olavi,"Tulenheimo, Martti",HYYn Vihreät - De Gröna vid HUS
419,Tuure,Tuomas Ville Mikael,"Tuure, Tuomas",HYYn Vihreät - De Gröna vid HUS
420,Urhonen,Amu Anna-Maria,"Urhonen, Amu",HYYn Vihreät - De Gröna vid HUS
421,Valkama,Elina Cecilia,"Valkama, Elina",HYYn Vihreät - De Gröna vid HUS
422,Voutilainen,Erika Eveliina,"Voutilainen, Erika",HYYn Vihreät - De Gröna vid HUS
423,Väyrynen,Taru Anna Elina,"Väyrynen, Taru",HYYn Vihreät - De Gröna vid HUS
424,Waltari,Pyry Petteri,"Waltari, Pyry",HYYn Vihreät - De Gröna vid HUS
425,Warius,Johanna Maria Larsdotter,"Warius, Johanna",HYYn Vihreät - De Gröna vid HUS
426,Sinisalo,Aino Elisa,"Sinisalo, Aino",ESO
427,Salminen,Aleksi Kustaa,"Salminen, Aleksi",ESO
428,Laulajainen,Anette Katariina,"Laulajainen, Anette",ESO
429,Heikkilä,Anja Kaarina,"Heikkilä, Anja",ESO
430,Björklund,Antti Gustav Rikhard,"Björklund, Antti",ESO
431,Kosonen,Antti Heikki Tapani,"Kosonen, Antti",ESO
432,Pelanteri,Antti Hermanni,"Pelanteri, Antti",ESO
433,Saarsalmi,Auli Merikki,"Saarsalmi, Auli",ESO
434,Seitz,Deni Johan,"Seitz, Deni 'puf'",ESO
435,Huttunen,Elina,"Huttunen, Elina",ESO
436,Miettinen,Emma Karoliina,"Miettinen, Emma",ESO
437,Vuorio,Emma Kaisa Johanna,"Vuorio, Emma",ESO
438,Lehtonen,Esko Pekka,"Lehtonen, Esko",ESO
439,Slotte,Eva-Stina Merith,"Slotte, Eva-Stina",ESO
440,Lämsä,Hanna Eveliina,"Lämsä, Hanna",ESO
441,Vanala,Hanna-Liina,"Vanala, Hanna",ESO
442,Hotti,Hannu Sakari,"Hotti, Hannu",ESO
443,Peiponen,Heidi Katriina,"Peiponen, Heidi",ESO
444,Koivupalo,Heikki Tapani,"Koivupalo, Heikki",ESO
445,Hyvärinen,Heini Helinä,"Hyvärinen, Heini",ESO
446,Nurmikari,Maria Helena Elisabeth,"Nurmikari, Helena",ESO
447,Ora,Inka Elina,"Ora, Inka",ESO
448,Stolt,Jani Petteri,"Stolt, Jani",ESO
449,Nyman,Jere Fred Olavi,"Nyman, Jere",ESO
450,Kangas,Jertta Maarit,"Kangas, Jertta",ESO
451,Riitakorpi,Johanna Maria Elisabeth,"Riitakorpi, Johanna",ESO
452,Sihvonen,Juha Erik Michael,"Sihvonen, Juha",ESO
453,Tiainen,Sanna Kaisa,"Tiainen, Kaisa",ESO
454,Ignatius,Karoliina Ida Aleksandra,"Ignatius, Karoliina",ESO
455,Rapala,Katariina Sini-Tuulia,"Rapala, Katariina",ESO
456,Joensuu,Katri-Mari Sofia,"Joensuu, Katri",ESO
457,Tolkki,Katri Johanna,"Tolkki, Katri",ESO
458,Ruuska,Anna Kerttu,"Ruuska, Kerttu",ESO
459,Iltala,Laura Elina,"Iltala, Laura",ESO
460,Penttilä,Pia Laura Anneli,"Penttilä, Laura",ESO
461,Hurme,Lauramaija Helena,"Hurme, Lauramaija 'Lauris'",ESO
462,Saviranta,Lauri Aleksi,"Saviranta, Lauri",ESO
463,Airosmaa,Maiju Annika,"Airosmaa, Maiju",ESO
464,Laaksonen,Maiju Tuulia,"Laaksonen, Maiju",ESO
465,Myllymäki,Meri Jenny Emilia,"Myllymäki, Meri",ESO
466,Kosloff,Mikael Aleksanteri,"Kosloff, Mikael",ESO
467,Laakso,Mikko Johannes,"Laakso, Mikko",ESO
468,Komulainen,Mirja valpuri,"Komulainen, Mirja",ESO
469,Ojala,Pauliina Elina,"Ojala, Pauliina",ESO
470,Heikkonen,Petri-Tapio,"Heikkonen, Petri-Tapio",ESO
471,Paalasmaa,Salla Aino,"Paalasmaa, Salla",ESO
472,Latva-Äijö,Salla-Maaria,"Latva-Äijö, Salla",ESO
473,Varjonen,Sampo Mikael,"Varjonen, Sampo",ESO
474,Vainikka,Satu Elina,"Vainikka, Satu",ESO
475,Nousiainen,Silja Johanna,"Nousiainen, Silja",ESO
476,Mäkinen,Simo Valtteri,"Mäkinen, Simo",ESO
477,Kuuluvainen,Soila Maria,"Kuuluvainen, Soila",ESO
478,Paikkala,Terhi Rauna Maarit,"Paikkala, Terhi",ESO
479,Mörsky,Tiia-Tuulia Marianne,"Mörsky, Tiia",ESO
480,Söderholm,Tiina Henriikka Aleksandra,"Söderholm, Tiina",ESO
481,Rask,Tobias Matias,"Rask, Tobias",ESO
482,Hänninen,Ulrika Anna Maria,"Hänninen, Ulrika",ESO
483,Ryynänen,Veera Vilhelmiina,"Ryynänen, Veera",ESO
484,Jarmala,Veikko Johannes,"Jarmala, Veikko",ESO
485,Kajanti,Vilja Inga Wilhelmiina,"Kajanti, Vilja",ESO
486,Virtanen,Anna Martta Elina,"Virtanen, Anna",SavO
487,Oittinen,Annamari Johanna,"Oittinen, Annamari",SavO
488,Holopainen,Anne Dora,"Holopainen, Anne",SavO
489,Hirsaho,Anni Tuulikki,"Hirsaho, Anni",SavO
490,Kirkkala,Antti Juhani,"Kirkkala, Antti",SavO
491,Vauhkonen,Antti Tapani,"Vauhkonen, Antti",SavO
492,Huttunen,Ari Jussi,"Huttunen, Ari 'Addu'",SavO
493,Sihvola,Emma Valpuri,"Sihvola, Emma",SavO
494,Nevalainen,Emmi Noora,"Nevalainen, Emmi",SavO
495,Juutinen,Esko Heikki Johannes,"Juutinen, Esko",SavO
496,Remonen,Iina Tuulikki,"Remonen, Iina",SavO
497,Holopainen,Jani Hans,"Holopainen, Jani",SavO
498,Oinonen,Jukka Antero,"Oinonen, Jukka",SavO
499,Pakarinen,Jukka Antero,"Pakarinen, Jukka 'Rasti'",SavO
500,Gustafsson,Jussi Petteri,"Gustafsson, Jussi",SavO
501,Kastarinen,Katja Pauliina,"Kastarinen, Katja",SavO
502,Kalliomäki,Katriina Elina,"Kalliomäki, Katriina",SavO
503,Kainulainen,Laura Alina,"Kainulainen, Laura",SavO
504,Korhonen,Laura Maria,"Korhonen, Laura",SavO
505,Auvinen,Lauri Mika Petteri,"Auvinen, Lauri",SavO
506,Niva,Lotta Eveliina,"Niva, Lotta",SavO
507,Haka,Maija Erika,"Haka, Maija",SavO
508,Väre,Maija Tuuli,"Väre, Maija",SavO
509,Häkkinen,Margareeta Anna Emilia,"Häkkinen, Margareeta",SavO
510,Miettinen,Markus Juhani,"Miettinen, Markus",SavO
511,Pitkänen,Mikko Riku Aleksi,"Pitkänen, Mikko",SavO
512,Lindfors,Minna Helena,"Lindfors, Minna",SavO
513,Virtanen,Otto Lauri Johannes,"Virtanen, Otto",SavO
514,Temmes,Outi Kaarina,"Temmes, Outi",SavO
515,Alapeteri,Pia Pauliina,"Alapeteri, Pia",SavO
516,Kettunen,Pyry Juhani,"Kettunen, Pyry",SavO
517,Ruuth,Riikka Maaret,"Ruuth, Riikka",SavO
518,Arola,Saara Eliisa,"Arola, Saara",SavO
519,Pennanen,Saila Pauliina,"Pennanen, Saila",SavO
520,Juutinen,Sara Henriikka,"Juutinen, Sara",SavO
521,Ulmanen,Sini Maarit,"Ulmanen, Sini",SavO
522,Jentze,Linnea Suvi Tuulia,"Jentze, Suvi",SavO
523,Laatikainen,Tanja Onerva,"Laatikainen, Tanja",SavO
524,Valkonen,Tatu Petteri,"Valkonen, Tatu",SavO
525,Tuovinen,Veera Eveliina,"Tuovinen, Veera",SavO
526,Meriläinen,Ville Sakari,"Meriläinen, Ville 'Piispa'",SavO
527,Pulkkinen,Ville Petteri,"Pulkkinen, Ville",SavO
528,Peltonen,Aku Petteri,"Peltonen, Aku 'AQ'",HO-Natura
529,Valjakka,Anna Kristiina,"Valjakka, Anna",HO-Natura
530,Zitting,Anna Maija,"Zitting, Anna",HO-Natura
531,Hämäläinen,Anu-Mari,"Hämäläinen, Anu-Mari",HO-Natura
532,Koivu,Arto Petteri,"Koivu, Arto",HO-Natura
533,Tuomela,Erkka Eevert,"Tuomela, Erkka",HO-Natura
534,Kanerva,Heimo Sakari,"Kanerva, Heimo",HO-Natura
535,Mattila,Henriikka Johanna Kaarina,"Mattila, Henriikka",HO-Natura
536,Tynkkynen,Ilkka Santeri,"Tynkkynen, Ilkka",HO-Natura
537,Ollikainen,Jani Marko Tapani,"Ollikainen, Jani 'bestis'",HO-Natura
538,Hyytiäinen,Janne Sakari,"Hyytiäinen, Janne",HO-Natura
539,Hyvönen,Jarna Elena,"Hyvönen, Jarna",HO-Natura
540,Mokka,Jenna Emilia,"Mokka, Jenna",HO-Natura
541,Luolaja,Jenni Pauliina,"Luolaja, Jenni",HO-Natura
542,Koponen,Juha Henrik,"Koponen, Juha",HO-Natura
543,Heliö,Jukka Tuomas,"Heliö, Jukka",HO-Natura
544,Lehtinen,Juuso Jalmari,"Lehtinen, Juuso",HO-Natura
545,Eriksson,Jyrki Olavi,"Eriksson, Jyrki",HO-Natura
546,Holmström,Jenny Karoliina,"Holmström, Karoliina",HO-Natura
547,Ervasti,Kim Mikael,"Ervasti, Kim",HO-Natura
548,Lähteenmäki,Liisa Katriina,"Lähteenmäki, Liisa",HO-Natura
549,Kostamo,Maarit Hannele,"Kostamo, Maarit",HO-Natura
550,Korpinen,Markus Nikolaus,"Korpinen, Markus",HO-Natura
551,Nieminen,Martti Johannes,"Nieminen, Martti",HO-Natura
552,Sergejeff,Mikko Petteri,"Sergejeff, Mikko",HO-Natura
553,Varje,Pekka Sakari,"Varje, Pekka",HO-Natura
554,Lähteenkorva,Riku Petteri,"Lähteenkorva, Riku",HO-Natura
555,Lähteenmäki,Lauri Sakari,"Lähteenmäki, Sakari",HO-Natura
556,Vuorinen,Samu Henrik Aleksei,"Vuorinen, Samu",HO-Natura
557,Vekkeli,Santtu Esa Tapio,"Vekkeli, Santtu",HO-Natura
558,Hatakka,Risto Tapio,"Hatakka, Tapio",HO-Natura
559,Laakso,Teemu Oskari,"Laakso, Teemu",HO-Natura
560,Gebhard,Teo Henrik,"Gebhard, Teo",HO-Natura
561,Saarela,Tuomas Jukka,"Saarela, Tuomas",HO-Natura
562,Lehto,Veera Elina,"Lehto, Veera",HO-Natura
563,Lähteenmäki,Veikko Juhani,"Lähteenmäki, Veikko",HO-Natura
564,Lehtinen,Viljo Pietari,"Lehtinen, Viljo",HO-Natura
565,Lappalainen,Ville Sakari,"Lappalainen, Ville",HO-Natura
566,Punkari,Milla Maria,"Punkari, Milla",HO-Natura
567,Mäkelä,Albert Lauri Kristian,"Mäkelä, Albert",KSO-VSO
568,Huuskonen,Anna Katariina,"Huuskonen, Anna",KSO-VSO
569,Kosonen,Anna Emilia,"Kosonen, Anna",KSO-VSO
570,Piesala,Ukko Väinö Eemeli,"Piesala, Eemeli",KSO-VSO
571,Pylsy,Elina Maria,"Pylsy, Elina",KSO-VSO
572,Rintala,Essi Kristiina,"Rintala, Essi",KSO-VSO
573,Mäkelä,Hanna-Maria Helena,"Mäkelä, Hanna-Maria",KSO-VSO
574,Jurvanen,Juha-Pekka Olavi,"Jurvanen, Juha-Pekka",KSO-VSO
575,Leppänen,Maija Helena,"Leppänen, Maija",KSO-VSO
576,Eskelinen,Marja Eeva-Riitta,"Eskelinen, Marja",KSO-VSO
577,Kosonen,Suvi Matleena,"Kosonen, Matleena",KSO-VSO
578,Kaijaluoto,Otso Veikko,"Kaijaluoto, Otso",KSO-VSO
579,Vogt,Sara Tuuli Marjatta,"Vogt, Sara",KSO-VSO
580,Oinas,Varpu Eliisa,"Oinas, Varpu",KSO-VSO
581,Kuusela,Heidi Marja,"Kuusela, Heidi",KSO-VSO
582,Korhonen,Henri Mikael,"Korhonen, Henri",KSO-VSO
583,Ahola,Ilari Tapani,"Ahola, Ilari",KSO-VSO
584,Mäkinen,Jenna Henriikka,"Mäkinen, Jenna",KSO-VSO
585,Niittynen,Lauri Olavi,"Niittynen, Lauri",KSO-VSO
586,Lähteenaho,Liisa-Maija,"Lähteenaho, Liisa",KSO-VSO
587,Varjo,Hennariikka Mariaana,"Varjo, Hennariikka 'Masa'",KSO-VSO
588,Lehto,Matti Juha Henrik,"Lehto, Matti",KSO-VSO
589,Hirvonen,Mikko Sakari,"Hirvonen, Mikko 'Apsu'",KSO-VSO
590,Tuominen,Niko Petteri,"Tuominen, Niko",KSO-VSO
591,Hamberg,Ninni Maria Katariina,"Hamberg, Ninni",KSO-VSO
592,Nokso-Koivisto,Eero Oskari,"Nokso-Koivisto, Oskari",KSO-VSO
593,Simelius,Satu Marianna,"Simelius, Satu",KSO-VSO
594,Halme,Teemu Antero,"Halme, Teemu",KSO-VSO
595,Mäkinen,Tero Tapani,"Mäkinen, Tero",KSO-VSO
596,Torkki,Anna Katariina,"Torkki, Anna",SatO-ESO2
597,Ritala,Anni Maria,"Ritala, Anni",SatO-ESO2
598,Lehtikangas,Annukka Katariina Emilia,"Lehtikangas, Annukka",SatO-ESO2
599,Saarenmaa,Antto Sakari,"Saarenmaa, Antto",SatO-ESO2
600,Välimäki,Anu Jutta Hannele,"Välimäki, Anu",SatO-ESO2
601,Lepistö,Emmi Loviisa,"Lepistö, Emmi",SatO-ESO2
602,Norri,Essi Erene Annika,"Norri, Essi",SatO-ESO2
603,Hannus,Hanna Sofia,"Hannus, Hanna",SatO-ESO2
604,Lehti,Hanna-Kaisa Kristiina,"Lehti, Hanna-Kaisa",SatO-ESO2
605,Hyyti,Heikki Sakari,"Hyyti, Heikki",SatO-ESO2
606,Holopainen,Henri Iiro Eemeli,"Holopainen, Henri",SatO-ESO2
607,Kärrylä,Ilkka Aleksi,"Kärrylä, Ilkka",SatO-ESO2
608,Liinaharja,Eriika Inkeri,"Liinaharja, Inkeri",SatO-ESO2
609,Liinaharja,Johanna Elina,"Liinaharja, Johanna",SatO-ESO2
610,Tuomi,Juho Valtteri,"Tuomi, Juho",SatO-ESO2
611,Ritala,Kaisa Marika,"Ritala, Kaisa",SatO-ESO2
612,Aalto-Setälä,Laura Katriina,"Aalto-Setälä, Laura",SatO-ESO2
613,Laurén,Marika,"Laurén, Marika",SatO-ESO2
614,Alho,Markku Juhani,"Alho, Markku",SatO-ESO2
615,Ilomäki,Miika Valtteri,"Ilomäki, Miika",SatO-ESO2
616,Mäkipää,Mikko Tapani,"Mäkipää, Mikko",SatO-ESO2
617,Heikintalo,Noora Marjaana,"Heikintalo, Noora",SatO-ESO2
618,Sattilainen,Otso Ilmari,"Sattilainen, Otso",SatO-ESO2
619,Alitalo,Tero Johannes,"Alitalo, Tero",SatO-ESO2
620,Häivälä,Timo Juhani,"Häivälä, Timo",SatO-ESO2
621,Tamminen,Tuulia Paulina,"Tamminen, Tuulia",SatO-ESO2
622,Rintanen,Tytti Inkeri,"Rintanen, Tytti",SatO-ESO2
623,Parisianos,Veera Nikoletta,"Parisianos, Veera",SatO-ESO2
624,Ritala,Johanna Wilhelmiina,"Ritala, Wilhelmiina",SatO-ESO2
625,Ilkka,Emma Josefiina,"Ilkka, Emma",SatO-ESO2
626,Parkkari,Jussi-Pekka,"Parkkari, Jussi-Pekka",SatO-ESO2
627,Karulinna,Karoliina Jounintytär,"Karulinna, Karoliina",SatO-ESO2
628,Peltonen,Lauri Pekka,"Peltonen, Lauri 'Peltsi'",SatO-ESO2
629,Lassila,Maria Sisko Helena,"Lassila, Maria",SatO-ESO2
630,Kauppinen,Mikael Uolevi Rikari,"Kauppinen, Mikael",SatO-ESO2
631,Tiusanen,Otto Veikko Verneri,"Tiusanen, Otto",SatO-ESO2
632,Lindfors,Pia Kristina,"Lindfors, Pia",SatO-ESO2
633,Hatakka,Antti Sampsa Johannes,"Hatakka, Sampsa",SatO-ESO2
634,Sulkamo,Saramia Maria,"Sulkamo, Saramia",SatO-ESO2
635,Adler,Taru Sinikka,"Adler, Taru",SatO-ESO2
636,Hillukkala,Tuomas Juha Tapani,"Hillukkala, Tuomas 'Juomas'",SatO-ESO2
637,Wäre,Tuomas Risto,"Wäre, Tuomas",SatO-ESO2
638,Aitosalo,Veikko Olavi,"Aitosalo, Veikko",SatO-ESO2
639,Saarelainen,Antti Juhani,"Saarelainen, Antti",Domus Gaudiumin Osakunnat
640,Ahtonen,Hanna Riikka,"Ahtonen, Hanna",Domus Gaudiumin Osakunnat
641,Eskelinen,Juho Pekka Aleksi,"Eskelinen, Juho",Domus Gaudiumin Osakunnat
642,Tiainen,Nelli Eveliina,"Tiainen, Nelli",Domus Gaudiumin Osakunnat
643,Tanskanen,Noora Anniina,"Tanskanen, Noora",Domus Gaudiumin Osakunnat
644,Torvinen,Pekka Juho Henrik,"Torvinen, Pekka",Domus Gaudiumin Osakunnat
645,Rantala,Samuli Waldemar,"Rantala, Samuli",Domus Gaudiumin Osakunnat
646,Nousiainen,Taru Susanna,"Nousiainen, Taru",Domus Gaudiumin Osakunnat
647,Meriläinen,Teemu Samuel,"Meriläinen, Teemu",Domus Gaudiumin Osakunnat
648,Kiviranta,Tuure Tapio,"Kiviranta, Tuure",Domus Gaudiumin Osakunnat
649,Mänttäri,Antti Erik,"Mänttäri, Antti",Domus Gaudiumin Osakunnat
650,Kiiski,Essi Ida Anniina,"Kiiski, Essi",Domus Gaudiumin Osakunnat
651,Kössi,Liisa Hanna-Maria,"Kössi, Hanna-Maria 'Hannis'",Domus Gaudiumin Osakunnat
652,Luoto,Heikki Juhani,"Luoto, Heikki",Domus Gaudiumin Osakunnat
653,Rainamaa,Jussi Petteri,"Rainamaa, Jussi",Domus Gaudiumin Osakunnat
654,Salonen,Marleena Meri-Tuulia,"Salonen, Marleena",Domus Gaudiumin Osakunnat
655,Laaksonen,Mikko Olavi,"Laaksonen, Mikko",Domus Gaudiumin Osakunnat
656,Ahtosalo,Milja Sinituulia,"Ahtosalo, Milja",Domus Gaudiumin Osakunnat
657,Nöjd,Riku Santtu Rainer,"Nöjd, Riku",Domus Gaudiumin Osakunnat
658,Mäkelä,Teemu Olavi,"Mäkelä, Teemu",Domus Gaudiumin Osakunnat
659,Laine,Timo Johannes,"Laine, Timo",Domus Gaudiumin Osakunnat
660,Kähö,Anna Katriina,"Kähö, Anna",Domus Gaudiumin Osakunnat
661,Hänninen,Annamaria Janita,"Hänninen, Annamaria",Domus Gaudiumin Osakunnat
662,Mäkeläinen,Anni Katariina,"Mäkeläinen, Anni",Domus Gaudiumin Osakunnat
663,Tuovinen,Anssi Tapani,"Tuovinen, Anssi",Domus Gaudiumin Osakunnat
664,Puolakka,Aura Iida Maria,"Puolakka, Aura",Domus Gaudiumin Osakunnat
665,Mattero,Elina Riina Anniina,"Mattero, Elina",Domus Gaudiumin Osakunnat
666,Ronkainen,Emma Saima Loviisa,"Ronkainen, Emma",Domus Gaudiumin Osakunnat
667,Pilhjerta,Emmi Helena,"Pilhjerta, Emmi",Domus Gaudiumin Osakunnat
668,Suonio,Jenna Suvi Elina,"Suonio, Jenna",Domus Gaudiumin Osakunnat
669,Hämäläinen,Johanna Marjukka,"Hämäläinen, Johanna",Domus Gaudiumin Osakunnat
670,Louhiranta,Juha Aleksi,"Louhiranta, Juha",Domus Gaudiumin Osakunnat
671,Lipponen,Katriina Hannele,"Lipponen, Katriina",Domus Gaudiumin Osakunnat
672,Väisänen,Laura Maria,"Väisänen, Laura",Domus Gaudiumin Osakunnat
673,Ahonen,Lauri Reino Antero,"Ahonen, Lauri",Domus Gaudiumin Osakunnat
674,Laamanen,Maiju Henriikka,"Laamanen, Maiju",Domus Gaudiumin Osakunnat
675,Nauha,Matti Tapani,"Nauha, Matti",Domus Gaudiumin Osakunnat
676,Mustonen,Melissa Anu Maria,"Mustonen, Melissa",Domus Gaudiumin Osakunnat
677,Tikkanen,Olli-Pekka,"Tikkanen, Olli-Pekka",Domus Gaudiumin Osakunnat
678,Sutinen,Pekka Tapio,"Sutinen, Pekka",Domus Gaudiumin Osakunnat
679,Kosonen,Sanna Katriina,"Kosonen, Sanna",Domus Gaudiumin Osakunnat
680,Liiri,Tiina Anni Emilia,"Liiri, Tiina",Domus Gaudiumin Osakunnat
681,Peuhkuri,Ulla Riina,"Peuhkuri, Ulla",Domus Gaudiumin Osakunnat
682,Ranki,Vuokko Johanna,"Ranki, Vuokko",Domus Gaudiumin Osakunnat
683,Appelberg,Allan,"Appelberg, Allan",EPO
684,Perälä,Anna Vilhelmiina,"Perälä, Anna",EPO
685,Nummi,Anna-Riikka Maria,"Nummi, Anna-Riikka",EPO
686,Brandt,Annika Mariel,"Brandt, Annika",EPO
687,Kukkola,Emilia Karoliina,"Kukkola, Emilia",EPO
688,Savolainen,Hannu Pentti,"Savolainen, Hannu",EPO
689,Ala-Mikkula,Heidi Emilia,"Ala-Mikkula, Heidi",EPO
690,Hemminki,Heidi Hilja Kristiina,"Hemminki, Heidi",EPO
691,Pirttinen,Heli Susanna,"Pirttinen, Heli",EPO
692,Ruotsalainen,Henri Tuomas,"Ruotsalainen, Henri",EPO
693,Virta,Henri Tuomas Leonard,"Virta, Henri",EPO
694,Harmanen,Ilona Taru Talvikki,"Harmanen, Ilona",EPO
695,Kangas,Jaakko Hermanni Antinpoika,"Kangas, Jaakko",EPO
696,Latva-Nikkola,Jani Iisakki,"Latva-Nikkola, Jani",EPO
697,Kohtamäki,Janne Pentti Matias,"Kohtamäki, Janne",EPO
698,Mäntykoski,Jenni Elina,"Mäntykoski, Jenni",EPO
699,Haapamäki,Johanna Maria Helena,"Haapamäki, Johanna",EPO
700,Harju,Juhana Henrikki,"Harju, Juhana",EPO
701,Haataja,Joni Onni Antero,"Haataja, Joni",EPO
702,Dahlman,Katarina,"Dahlman, Katarina",EPO
703,Meriläinen,Katja Kristiina,"Meriläinen, Katja",EPO
704,Rantakokko,Kirsimarja,"Rantakokko, Kirsimarja",EPO
705,Anttila,Laura Matilda,"Anttila, Laura",EPO
706,Isoniemi,Laura Elisabeth,"Isoniemi, Laura",EPO
707,Leppilahti,Laura Katariina,"Leppilahti, Laura",EPO
708,Mursu,Laura Susanna,"Mursu, Laura",EPO
709,Furu,Leena Veronica,"Furu, Leena",EPO
710,Kurjenluoma,Leena Alisa,"Kurjenluoma, Leena",EPO
711,Pihlajamäki,Leena Anneli,"Pihlajamäki, Leena",EPO
712,Kurkela,Maria Sofia,"Kurkela, Maria",EPO
713,Mäenpää,Marja Helena,"Mäenpää, Marja",EPO
714,Hakola,Marjo Riikka,"Hakola, Marjo",EPO
715,Hietala,Miina Kaisa Hannele,"Hietala, Miina",EPO
716,Latva-Somppi,Minna Liisa Kaarina,"Latva-Somppi, Minna",EPO
717,Pitkäranta,Nina Pauliina,"Pitkäranta, Nina",EPO
718,Karppi,Noora Justiina,"Karppi, Noora",EPO
719,Ala-Fossi,Olli Juhani,"Ala-Fossi, Olli",EPO
720,Hemminki,Olli Tapani,"Hemminki, Olli",EPO
721,Nokso-Koivisto,Olli Sakari,"Nokso-Koivisto, Olli",EPO
722,Raivio,Markku Antti Oskari,"Raivio, Oskari",EPO
723,Surma-aho,Outi Katariina,"Surma-aho, Outi",EPO
724,Kahila,Paula Kaarina,"Kahila, Paula",EPO
725,Rokkila,Marja Pauliina,"Rokkila, Pauliina",EPO
726,Latvala,Reetta Loviisa,"Latvala, Reetta",EPO
727,Kaarto,Riikka Karoliina,"Kaarto, Riikka",EPO
728,Kaila,Riikka Eveliina,"Kaila, Riikka",EPO
729,Mäntykoski,Saara Maria,"Mäntykoski, Saara",EPO
730,Kääriäinen,Sami Aarne,"Kääriäinen, Sami",EPO
731,Sjöblom,Sampo Jaakko Kalevi,"Sjöblom, Sampo",EPO
732,Haavisto,Suvi Maarit,"Haavisto, Suvi",EPO
733,Ojala,Suvi Annikki,"Ojala, Suvi",EPO
734,Hietamäki,Tapio Henrik,"Hietamäki, Tapio",EPO
735,Kallio,Tapio Jaakko,"Kallio, Tapio",EPO
736,Koskiniemi,Teemu Jaakko,"Koskiniemi, Teemu",EPO
737,Tuurihalme,Timo Jaakko Martti,"Tuurihalme, Timo",EPO
738,Pennala,Tuomas Antti Ilmari,"Pennala, Tuomas",EPO
739,Raivio,Ville Mikael,"Raivio, Ville",EPO
740,Kotisaari,Anna Maria,"Kotisaari, Anna",PPO
741,Ruotsala,Anni-Helena,"Ruotsala, Anni-Helena",PPO
742,Ervasti,Anri Maarit,"Ervasti, Anri",PPO
743,Ojala,Antti Heikki Johannes,"Ojala, Antti",PPO
744,Viikinkoski,Arttu,"Viikinkoski, Arttu",PPO
745,Pape,Christopher David,"Pape, Chris",PPO
746,Lapinoja,Elina Kaarina,"Lapinoja, Elina",PPO
747,Viren,Hanna Elisa,"Viren, Hanna",PPO
748,Jokela,Ida-Reetta Johanna,"Jokela, Ida-Reetta",PPO
749,Kampman,Iiro Joonas,"Kampman, Iiro",PPO
750,Kauma,Iiro Mikko Ilmari,"Kauma, Iiro",PPO
751,Kavén,Jenni Emilia,"Kavén, Jenni",PPO
752,Sepponen,Jenni Emilia,"Sepponen, Jenni",PPO
753,Hyry,Jonna Marika,"Hyry, Jonna",PPO
754,Huotari,Joonas Kalle,"Huotari, Joonas",PPO
755,Seppänen,Katja Hannele,"Seppänen, Katja",PPO
756,Ansamaa,Laura Johanna,"Ansamaa, Laura",PPO
757,Haikola,Lauri Antero,"Haikola, Lauri",PPO
758,Heilala,Lauri Kullervo,"Heilala, Lauri 'Late'",PPO
759,Sivula,Lauri Eero Mikael,"Sivula, Lauri",PPO
760,Huotari,Sanna Mari,"Huotari, Mari",PPO
761,Huhtaniemi,Lisa Marianna,"Huhtaniemi, Marianna",PPO
762,Sutinen,Marjo Johanna,"Sutinen, Marjo",PPO
763,Kähkönen,Mervi Helena,"Kähkönen, Mervi",PPO
764,Kunnari,Mikko Olavi Johannes,"Kunnari, Mikko",PPO
765,Tervonen,Minna Johanna,"Tervonen, Minna",PPO
766,Rantakeisu,Mira Johanna,"Rantakeisu, Mira",PPO
